110314 1253 00546           501  02            1835             89616330032 7 
110314 1254 00002  501  25                    01828                    1826 G 
110314 1256 01017           501  01            1854            989101480521 7 
110314 1257 00232  501  25                    01828                    1826 9 
110314 1257 00003           501  01            1858                    1981 7 
110314 1257 00003  501  26                     1926                    1858 9 
110314 1304 00008  501  27                     4151                    1822 G 
110314 1305 00157           501  01            1826                   22242 7 
110314 1305 00028  501  27                     4151                    1822 9 
110314 1305 00002  501  28                    04345                    1822 G 
110314 1305 00005           501  02            1853            988313034157 7 
110314 1305 00016  501  28                    04345                    1822 9 
110314 1306 00045           501  01            1853            988313076986 7 
110314 1307 00030           501  02            1822                    1944 7 
110314 1307 00011           501  01            1822                   04345 7 
110314 1309 00010           501  01            1851                92937617 7 
110314 1309 00011  501  29                     1944                    1858 G 
110314 1310 00023  501  30                     1442                    1854 H 
110314 1310 00028           501  01            1427            989534677928 7 
110314 1315 00007  501  02                     4202                    1853 G 
110314 1318 00305  501  02                     4202                    1853 9 
110314 1320 01041  501  29                     1944                    1858 C 
110314 1320 00733           501  01            1858                   01570 C 
110314 1323 00045           501  01            1853            989103870137 7 
110314 1325 00008  501  03                    01570                    1858 G 
110314 1325 00008  501  03                    01570                    1858 9 
110314 1325 00002  501  04                    01570                    1858 G 
110314 1326 00005  501  05                    04345                    1822 G 
110314 1326 00018  501  05                    04345                    1822 9 
110314 1328 00211  501  04                    01570                    1858 9 
110314 1329 00002  501  06                    01944                    1822 G 
110314 1330 00052  501  06                    01944                    1822 9 
110314 1331 00002  501  08                    04345                    1822 G 
110314 1332 00034  501  08                    04345                    1822 9 
110314 1334 00614           501  01            1853            989103870137 7 
110314 1336 00039           501  01            1427            989202557961 7 
110314 1337 00001  501  09                     1828                    1822 G 
110314 1337 00039  501  09                     1828                    1822 9 
110314 1345 00016  501  10                                             1983 9 
110314 1346 00016  501  11                                             1983 9 
110314 1347 00112           501  01            1851                   04302 7 
110314 1349 00100           501  01            1850            989524442286 7 
110314 1350 00040           501  01            1851            989043922277 7 
110314 1352 00003  501  12                     1800                    1858 G 
110314 1353 00303           501  02            1835             89535528937 7 
110314 1353 00012           501  01            1826                    1811 7 
110314 1353 00133  501  12                     1800                    1858 9 
110314 1355 00030           501  03            1851            988332602376 7 
110314 1355 00044           501  02            1850            989128594606 7 
110314 1356 00238           501  01            1826                    1828 7 
110314 1357 00001  501  13                     4082                    1822 G 
110314 1357 00028           501  01            1851            989091314785 7 
110314 1358 00034  501  13                     4082                    1822 9 
110314 1359 00005           501  01            1858                   01426 7 
110314 1400 00002  501  14                    61426                    1858 G 
110314 1400 00139           501  02            1850            989128594606 7 
110314 1400 00127           501  03            1851            989617475877 7 
110314 1402 00002  501  15                     1925                    1850 G 
110314 1404 00427  501  14                    61426                    1858 9 
110314 1406 00004           501  03            1854            989190005790 7 
110314 1406 00103           501  01            1427            989202557961 7 
110314 1409 00718  501  15                     1925                    1850 9 
110314 1409 00043           501  01            1854            989190005790 7 
110314 1409 00004  501  16                     1837                    1818 G 
110314 1410 00004  501  17                     4522                    1424 G 
110314 1410 00005  501  18               8312728808                    1428 G 
110314 1410 00030  501  17                     4522                    1424 9 
110314 1411 00122           501  01            1851            989501778249 7 
110314 1412 00131  501  18               8312728808                    1428 9 
110314 1412 00017  501  19               3412412193                    1983 9 
110314 1412 00250  501  16                     1837                    1818 9 
110314 1413 00013  501  20                     1944                    1440 G 
110314 1416 00043           501  01            1822                    4171 7 
110314 1416 01028           501  02            1858            989527779811 7 
110314 1416 00000  501  21                     1015                    1855 I 
110314 1416 00013  501  22                     1015                    1850 G 
110314 1418 00705           501  03            1821                92725030 7 
110314 1418 00030  501  23                    04302                    1851 H 
110314 1418 00026  501  24                    04302                    1851 H 
110314 1418 00110           501  01            1851            989068182015 7 
